,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Guaymas,100,MX,1563616125,73,27.92,-110.9,82.0,5.01
1,Bubaque,100,GW,1563616126,80,11.28,-15.83,78.1,7.96
2,Tabuk,100,PH,1563616126,98,17.41,121.44,69.82,2.8
3,Soyo,40,AO,1563616094,74,-6.13,12.37,78.8,4.61
4,Puerto Ayora,5,EC,1563616126,87,-0.74,-90.35,66.4,5.21
5,Rikitea,6,PF,1563616127,53,-23.12,-134.97,66.58,9.75
6,East London,20,ZA,1563616033,62,-33.02,27.91,53.6,31.09
7,Busselton,68,AU,1563616127,82,-33.64,115.35,57.0,27.81
8,Tomatlan,98,MX,1563616128,80,19.93,-105.25,76.66,7.49
9,Khatanga,72,RU,1563616128,35,71.98,102.47,79.18,13.58
10,Lensk,0,RU,1563616128,35,60.71,114.91,67.3,12.88
11,Tuktoyaktuk,100,CA,1563616129,97,69.44,-133.03,38.86,8.9
12,Vryburg,0,ZA,1563616129,38,-26.96,24.73,55.24,10.6
13,Yellowknife,40,CA,1563616129,81,62.45,-114.38,51.8,4.7
14,Vanino,49,RU,1563616130,61,53.93,40.55,69.01,1.99
15,Ushuaia,20,AR,1563616130,80,-54.81,-68.31,33.8,8.05
16,Ixtapa,90,MX,1563616130,100,20.71,-105.21,77.0,4.7
17,Arraial do Cabo,75,BR,1563616130,93,-22.97,-42.02,66.2,13.87
18,Necochea,100,AR,1563616131,93,-38.55,-58.74,43.0,7.31
19,Klaksvik,40,FO,1563616131,93,62.23,-6.59,55.4,12.75
20,Shenzhen,20,CN,1563615979,83,22.54,114.05,82.4,6.71
21,Bud,20,NO,1563616131,82,62.91,6.91,66.2,4.7
22,Vestmannaeyjar,40,IS,1563616132,93,63.44,-20.27,55.4,4.7
23,Bilibino,84,RU,1563616132,76,68.06,166.44,41.02,3.49
24,Pendleton,90,US,1563616132,100,34.65,-82.78,75.99,3.91
25,Atuona,40,PF,1563616133,72,-9.8,-139.03,80.44,8.77
26,Morbach,0,DE,1563616133,44,49.52,10.62,84.0,6.93
27,Narsaq,96,GL,1563616133,93,60.91,-46.05,46.4,3.36
28,Barrow,100,AR,1563616134,51,-38.31,-60.23,46.6,5.79
29,Whitehorse,75,CA,1563616067,67,60.72,-135.06,59.0,6.93
30,Carnarvon,5,ZA,1563616134,42,-30.97,22.13,42.1,11.3
31,Mujiayingzi,100,CN,1563616134,61,42.12,118.78,77.92,9.35
32,Tasiilaq,99,GL,1563616135,81,65.61,-37.64,46.4,10.29
33,Saint-Philippe,1,CA,1563616135,88,45.36,-73.48,75.99,10.29
34,Ust-Kut,76,RU,1563616135,41,56.78,105.75,73.78,9.64
35,Quelimane,0,MZ,1563616136,54,-17.88,36.89,82.4,8.05
36,Mayo,20,CA,1563616136,63,63.59,-135.9,64.4,4.7
37,Kudahuvadhoo,90,MV,1563616136,78,2.67,72.89,83.14,17.22
38,Zavitinsk,100,RU,1563616136,83,50.11,129.44,76.66,11.72
39,Grand Gaube,75,MU,1563616137,65,-20.01,57.66,77.0,18.34
40,Biltine,60,TD,1563616137,35,14.53,20.93,91.24,10.76
41,Jamestown,0,AU,1563615891,37,-33.21,138.6,55.96,16.02
42,Bluff,0,AU,1563616138,60,-23.58,149.07,59.74,12.55
43,Ous,100,RU,1563616138,51,60.91,61.52,80.98,4.72
44,Albany,75,US,1563616038,78,42.65,-73.75,78.01,3.36
45,Kapaa,90,US,1563616093,78,22.08,-159.32,80.6,12.75
46,Nikolskoye,75,RU,1563616139,77,59.7,30.79,71.01,8.95
47,Poum,40,MK,1563616139,60,41.28,20.71,71.6,6.93
48,Malanje,75,AO,1563616139,82,-9.54,16.35,68.0,5.82
49,Rome,0,IT,1563616139,42,41.89,12.48,88.0,4.7
50,Kumo,100,NG,1563616140,75,10.05,11.21,75.76,8.59
51,Dikson,96,RU,1563616140,80,73.51,80.55,44.26,21.14
52,Tura,0,RU,1563616140,31,64.27,100.22,70.18,14.09
53,Mount Gambier,0,AU,1563616141,50,-37.83,140.78,55.4,16.11
54,Bethel,90,US,1563616141,93,60.79,-161.76,53.6,9.17
55,Saint-Pierre,0,FR,1563616141,50,48.95,4.24,82.0,14.99
56,Kloulklubed,75,PW,1563616142,79,7.04,134.26,84.2,5.82
57,Labuhan,100,ID,1563616142,89,-2.54,115.51,82.42,1.48
58,Raudeberg,98,NO,1563616142,63,61.99,5.14,66.2,6.93
59,Kazachinskoye,100,RU,1563616142,84,57.69,93.28,54.7,10.85
60,Victoria,75,BN,1563615954,74,5.28,115.24,87.8,5.82
61,Nizhneangarsk,99,RU,1563616143,65,55.78,109.57,66.4,2.01
62,Tiarei,20,PF,1563616143,73,-17.53,-149.33,71.6,4.7
63,Sitka,54,US,1563616144,58,37.17,-99.65,78.01,8.99
64,Ust-Tsilma,100,RU,1563616144,75,65.44,52.15,60.28,2.93
65,Sterling,1,US,1563616144,94,39.0,-77.4,81.0,3.36
66,Pundaguitan,12,PH,1563616144,71,6.37,126.17,83.14,8.1
67,Oranjemund,5,ZA,1563616145,74,-28.55,16.43,54.88,28.34
68,Isangel,90,VU,1563616145,73,-19.55,169.27,69.8,19.75
69,Yerbogachen,0,RU,1563616145,34,61.28,108.01,68.56,16.02
70,Bayangol,3,MN,1563616146,43,48.91,106.09,79.9,6.38
71,Talnakh,0,RU,1563616146,31,69.49,88.39,77.0,15.66
72,Mataura,100,NZ,1563616146,97,-46.19,168.86,48.0,3.0
73,Alyangula,0,AU,1563616146,64,-13.85,136.42,73.4,6.93
74,Emerald,12,AU,1563616147,51,-23.53,148.16,62.6,5.82
75,Nixa,1,US,1563615883,100,37.04,-93.29,75.2,4.7
76,Mahebourg,75,MU,1563616147,65,-20.41,57.7,77.0,18.34
77,Cayenne,90,GF,1563615880,94,4.94,-52.33,73.4,3.11
78,Sibenik,0,HR,1563616148,54,45.81,17.18,80.8,5.95
79,Bambous Virieux,75,MU,1563616148,65,-20.34,57.76,77.0,18.34
80,Sandnessjoen,75,NO,1563616148,93,66.02,12.63,60.8,4.7
81,Butaritari,0,KI,1563616148,69,3.07,172.79,85.12,7.67
82,Luderitz,0,NA,1563616149,75,-26.65,15.16,56.5,24.14
83,Shetpe,19,KZ,1563616150,22,44.14,52.16,95.38,17.07
84,Bomet,3,KE,1563616150,58,-0.78,35.34,73.78,3.65
85,Iisalmi,0,FI,1563616150,68,63.56,27.19,66.2,8.05
86,Cidreira,18,BR,1563616150,82,-30.17,-50.22,60.1,6.62
87,Naples,20,IT,1563616046,45,40.84,14.25,86.0,4.7
88,Castro,40,CL,1563616151,100,-42.48,-73.76,39.2,5.82
89,Luanda,75,AO,1563615975,78,-8.83,13.24,75.2,3.36
90,Verkhoyansk,3,RU,1563616152,29,67.55,133.39,62.44,6.67
91,Thompson,40,CA,1563616152,93,55.74,-97.86,44.6,5.82
92,Norman Wells,75,CA,1563616152,93,65.28,-126.83,55.4,3.36
93,Tautira,20,PF,1563616152,73,-17.73,-149.15,71.6,4.7
94,Hermanus,48,ZA,1563616153,72,-34.42,19.24,55.99,11.43
95,Bambanglipuro,39,ID,1563616153,86,-7.95,110.28,76.84,18.54
96,Vaini,75,IN,1563616154,65,15.34,74.49,86.0,5.82
97,Mar del Plata,0,AR,1563616154,62,-46.43,-67.52,34.9,15.79
98,Provideniya,100,RU,1563616154,93,64.42,-173.23,48.22,5.93
99,Ahipara,0,NZ,1563616155,74,-35.17,173.16,57.04,8.3
100,Naze,100,NG,1563616155,80,5.43,7.07,79.36,4.25
101,Cape Town,20,ZA,1563616155,58,-33.93,18.42,57.99,11.41
102,Hammerfest,0,NO,1563616155,49,70.66,23.68,69.8,4.7
103,Alta Floresta,0,BR,1563616156,61,-9.87,-56.08,66.94,3.4
104,Hami,100,CN,1563616156,16,42.84,93.51,90.88,9.06
105,Chokurdakh,100,RU,1563616156,51,70.62,147.9,48.94,12.66
106,Lata,97,IN,1563616157,90,30.78,78.62,50.74,6.62
107,Atar,100,MR,1563616157,19,20.52,-13.05,95.0,6.93
108,Haines Junction,97,CA,1563616157,96,60.75,-137.51,44.8,4.32
109,Hobart,100,AU,1563615903,62,-42.88,147.33,54.0,10.29
110,Mugur-Aksy,57,RU,1563616158,37,50.38,90.44,54.88,8.34
111,Petropavlovsk-Kamchatskiy,40,RU,1563616158,77,53.05,158.65,66.2,4.47
112,Mao,40,DO,1563616158,100,19.55,-71.08,78.01,4.7
113,Kupang,0,ID,1563616159,71,-10.16,123.6,78.1,6.15
114,Avarua,100,CK,1563616159,88,-21.21,-159.78,68.0,1.12
115,Port Lincoln,32,AU,1563616159,74,-34.72,135.86,61.0,30.62
116,Port Elizabeth,1,US,1563616160,94,39.31,-74.98,82.4,3.36
117,Lasa,20,CY,1563616160,62,34.92,32.53,86.0,11.41
118,Georgetown,75,GY,1563616160,100,6.8,-58.16,73.4,2.24
119,Cabo San Lucas,68,MX,1563615970,82,22.89,-109.91,82.99,9.35
120,Kieta,100,PG,1563616161,86,-6.22,155.63,77.92,3.78
121,Kencong,100,ID,1563616161,73,-7.78,112.24,78.46,14.25
122,Aasiaat,100,GL,1563616161,88,68.71,-52.87,42.82,6.08
123,Zaraza,11,VE,1563616162,98,9.35,-65.33,70.72,2.51
124,Itarema,38,BR,1563616162,84,-2.92,-39.92,72.34,8.43
125,Mezen,100,RU,1563616162,87,65.85,44.24,48.58,8.63
126,Semnan,0,IR,1563616163,11,35.58,53.39,90.34,14.61
127,Atasu,0,KZ,1563616163,24,48.68,71.64,88.9,16.04
128,Puerto Madero,0,AR,1563616163,93,-34.61,-58.36,57.2,2.24
129,Qaanaaq,100,GL,1563616163,94,77.48,-69.36,38.32,10.16
130,Mitsamiouli,20,KM,1563616164,62,-11.38,43.28,84.2,13.87
131,Klenovyy,0,UA,1563616164,40,48.12,39.46,78.82,5.26
132,Bredasdorp,31,ZA,1563616164,76,-34.53,20.04,54.0,3.36
133,New Norfolk,100,AU,1563616165,62,-42.78,147.06,54.0,10.29
134,Port Moresby,20,PG,1563616165,78,-9.47,147.16,76.48,26.46
135,Wadi Maliz,0,TN,1563616165,42,36.47,8.55,91.4,4.7
136,Kaitangata,100,NZ,1563616166,88,-46.28,169.85,48.99,1.01
137,Shagonar,89,RU,1563616166,52,51.54,92.92,72.34,8.19
138,Taltal,35,CL,1563616166,90,-25.41,-70.49,47.14,5.57
139,San Quintin,100,PH,1563616167,80,17.54,120.52,82.96,4.07
140,Eureka,90,US,1563616167,87,40.8,-124.16,57.0,5.82
141,Ngunguru,24,NZ,1563616167,92,-35.62,174.5,46.99,9.01
142,Alghero,0,IT,1563616168,42,40.56,8.32,86.0,8.05
143,Longyearbyen,75,NO,1563616168,87,78.22,15.63,44.6,3.36
144,Stijena,0,BA,1563616168,57,44.94,16.02,82.99,1.01
145,Olivenza,0,ES,1563616169,53,38.68,-7.1,82.99,4.7
146,Severo-Kurilsk,48,RU,1563616169,94,50.68,156.12,47.32,3.62
147,Xining,100,CN,1563616169,40,36.62,101.77,68.74,3.65
148,Cap Malheureux,75,MU,1563616169,65,-19.98,57.61,77.0,18.34
149,Ko Samui,40,TH,1563616056,66,9.54,99.94,86.0,11.41
150,Biak,88,ID,1563616170,94,-0.91,122.88,66.22,5.14
151,Caravelas,9,BR,1563616115,80,-17.73,-39.27,69.64,12.08
152,Saskylakh,79,RU,1563616170,39,71.97,114.09,75.76,16.98
153,Roald,0,NO,1563616171,82,62.58,6.12,66.2,11.41
154,Hithadhoo,100,MV,1563616171,76,-0.6,73.08,82.96,15.75
155,Kruisfontein,100,ZA,1563616171,67,-34.0,24.73,48.76,17.47
156,Iqaluit,90,CA,1563616171,100,63.75,-68.52,37.4,12.75
157,Hilo,90,US,1563615913,94,19.71,-155.08,73.99,3.36
158,Constitucion,100,MX,1563616172,84,23.99,-104.67,60.01,1.01
159,Longkou,0,CN,1563616172,77,37.64,120.47,79.54,13.87
160,Saint-Francois,82,FR,1563616172,50,46.42,3.91,82.99,5.82
161,Lebu,40,ET,1563616173,63,8.96,38.73,64.4,4.7
162,Noumea,0,NC,1563615958,77,-22.28,166.46,62.6,2.24
163,Mackenzie,90,CA,1563616173,93,55.34,-123.09,55.4,4.7
164,Celendin,0,PE,1563616173,81,-6.87,-78.15,44.6,2.24
165,Kalabo,0,ZM,1563616174,16,-15.0,22.67,76.12,5.88
166,Codrington,0,AU,1563616174,87,-28.95,153.24,55.99,2.98
167,Dumbrava Rosie,0,RO,1563616174,45,46.88,26.43,82.99,2.24
168,Snasa,0,NO,1563616174,57,64.25,12.38,69.28,1.52
169,Namibe,75,AO,1563616175,78,-15.19,12.15,71.6,11.41
170,Mudgal,82,IN,1563616175,57,16.02,76.43,86.74,9.73
171,Wajir,75,KE,1563616175,51,1.75,40.07,84.2,10.29
172,Aklavik,90,CA,1563616176,93,68.22,-135.01,53.6,8.05
173,Winder,75,US,1563616176,100,33.99,-83.72,73.99,3.36
174,Tiksi,100,RU,1563616176,40,71.64,128.87,62.08,21.97
175,Calatayud,0,ES,1563616176,54,41.35,-1.64,86.0,8.05
176,Turayf,0,SA,1563616177,33,31.68,38.65,87.8,6.44
177,Yatou,75,CM,1563616177,88,3.63,9.81,80.6,2.24
178,Sarkand,19,KZ,1563616177,15,45.41,79.91,97.54,16.73
179,Antofagasta,90,CL,1563616178,71,-23.65,-70.4,57.2,6.93
180,Airai,0,TL,1563616178,70,-8.93,125.41,74.86,2.73
181,Liwale,15,TZ,1563616178,30,-9.8,37.92,87.28,1.16
182,Port Blair,99,IN,1563616178,85,11.67,92.75,81.34,12.37
183,Lokosovo,49,RU,1563616179,42,61.13,74.84,84.94,6.17
184,Kahului,90,US,1563616179,78,20.89,-156.47,78.8,16.11
185,Chuy,16,UY,1563616180,97,-33.69,-53.46,55.96,3.94
186,Port Alfred,95,ZA,1563616180,76,-33.59,26.89,54.0,8.99
187,Bosobolo,98,CD,1563616180,81,4.19,19.88,79.18,4.16
188,Abu Dhabi,0,AE,1563616135,30,24.47,54.37,109.4,5.82
189,Barentu,0,ER,1563616181,55,15.11,37.59,83.68,5.91
190,Mount Hagen,93,PG,1563616181,99,-5.86,144.23,54.7,2.89
191,Cockburn Town,0,TC,1563615907,81,21.46,-71.14,81.52,17.2
192,Batagay-Alyta,33,RU,1563616182,30,67.8,130.41,60.64,5.93
193,Tottori,90,JP,1563616182,74,35.5,134.23,82.4,10.29
194,Upernavik,100,GL,1563616182,96,72.79,-56.15,43.9,15.14
195,Vila Franca do Campo,40,PT,1563616183,94,37.72,-25.43,71.6,11.41
196,Grindavik,20,IS,1563616183,76,63.84,-22.43,57.2,8.05
197,Shubarkuduk,0,KZ,1563616183,38,49.15,56.49,88.72,20.58
198,Leh,6,IN,1563616183,24,34.16,77.58,53.62,5.91
199,Aleksandrov Gay,0,RU,1563616184,29,50.14,48.57,84.58,14.18
200,Ghanzi,0,BW,1563616184,13,-21.7,21.65,67.48,6.76
201,Nanortalik,100,GL,1563616184,98,60.14,-45.24,41.56,7.36
202,Sovetskiy,51,RU,1563616185,77,56.76,48.47,70.18,12.82
203,Emmett,1,US,1563616185,36,43.87,-116.5,62.6,11.41
204,Tobol,85,SE,1563616185,88,59.83,12.54,66.2,3.36
205,Samon,75,PH,1563616186,83,15.5,120.94,84.2,2.24
206,Hit,0,IQ,1563616186,17,33.64,42.83,102.94,17.38
207,Petauke,0,ZM,1563616186,27,-14.25,31.33,84.76,3.0
208,Geraldton,20,CA,1563616186,87,49.72,-86.95,60.8,6.93
209,Kyzyl-Suu,0,KG,1563616187,42,42.34,78.0,72.16,6.49
210,Zambezi,0,ZM,1563616187,21,-13.55,23.12,77.38,6.02
211,Touros,75,BR,1563616187,100,-5.2,-35.46,73.4,10.29
212,Punta Arenas,0,CL,1563616188,78,-53.16,-70.91,32.0,14.99
213,Castelo do Piaui,26,BR,1563616001,79,-5.32,-41.55,68.02,4.07
214,Riverton,1,US,1563616189,36,43.02,-108.38,63.0,9.17
215,Trois-Rivieres,90,CA,1563615902,100,46.35,-72.55,75.0,2.24
216,San Matias,6,BO,1563616190,52,-16.36,-58.4,69.64,2.55
217,Clyde River,1,CA,1563616190,93,70.47,-68.59,41.0,8.05
218,Anahuac,100,MX,1563616190,82,26.44,-109.02,78.01,15.26
219,Cabedelo,75,BR,1563616190,100,-6.97,-34.84,73.4,6.93
220,Jumla,0,NP,1563616191,46,29.28,82.18,74.5,8.81
221,Nguruka,41,TZ,1563616191,26,-5.11,31.04,84.94,5.59
222,Jabinyanah,0,TN,1563616191,51,35.03,10.91,86.0,9.17
223,Dingle,100,PH,1563616191,81,11.0,122.67,83.14,3.2
224,Katsuura,75,JP,1563616192,94,33.93,134.5,82.4,21.92
225,Alice Springs,0,AU,1563616071,13,-23.7,133.88,69.8,5.82
226,Grand Baie,75,MU,1563616192,65,-20.02,57.58,77.0,18.34
227,Konongo,100,GH,1563616192,96,6.62,-1.21,72.34,4.32
228,Berlevag,0,NO,1563616193,82,70.86,29.09,52.54,10.27
229,Locri,20,IT,1563615931,65,38.24,16.26,84.2,9.17
230,San Cristobal,100,HN,1563616193,96,14.68,-86.92,63.7,2.04
231,Zaysan,9,KZ,1563616193,28,47.47,84.87,81.88,13.58
232,Keita,86,NG,1563616194,85,7.1,3.65,77.92,2.21
233,Lagoa,0,PT,1563616194,50,37.14,-8.45,82.0,10.29
234,Lichinga,0,MZ,1563616194,32,-13.3,35.25,81.16,5.35
235,Kailua,90,US,1563616195,100,21.39,-157.74,80.6,10.29
236,Sao Joao da Barra,90,BR,1563616195,100,-21.64,-41.05,62.6,0.87
237,Panguna,100,PG,1563616195,81,-6.32,155.48,80.44,10.89
238,Bodmin,40,GB,1563616195,77,50.47,-4.72,64.99,17.22
239,Saint-Augustin,90,CA,1563616196,94,45.63,-73.98,75.99,3.36
240,Igarka,0,RU,1563616196,33,67.47,86.57,76.12,14.47
241,San Pedro,0,AR,1563616196,96,-33.68,-59.66,51.01,1.99
242,Morant Bay,20,JM,1563616138,58,17.88,-76.41,84.2,16.11
243,Hay River,40,CA,1563616197,100,60.82,-115.79,46.4,6.62
244,Souillac,90,FR,1563616197,69,45.6,-0.6,75.0,9.17
245,Flinders,0,AU,1563616198,87,-34.58,150.85,59.0,1.12
246,Mehamn,0,NO,1563616198,65,71.03,27.85,60.1,4.72
247,Ilulissat,100,GL,1563616198,62,69.22,-51.1,51.8,5.26
248,Senanga,0,ZM,1563616198,15,-16.1,23.3,77.92,5.14
249,Vallenar,0,CL,1563616199,66,-28.58,-70.76,48.58,0.81
250,Taitung,75,TW,1563616199,66,22.76,121.15,87.8,5.82
251,Cedar City,1,US,1563616199,21,37.68,-113.06,64.99,5.19
252,Pisco,90,PE,1563616200,82,-13.71,-76.2,60.8,3.36
253,Nieuwpoort,40,BE,1563616200,77,51.13,2.75,75.0,10.29
254,Estacion Coahuila,1,MX,1563616200,35,32.19,-115.0,84.2,8.55
255,Fortuna,90,US,1563616200,87,40.6,-124.16,57.0,5.82
256,Hualmay,100,PE,1563616201,87,-11.1,-77.61,61.0,12.06
257,Senneterre,75,CA,1563616201,82,48.39,-77.24,64.4,4.7
258,Port Hardy,5,CA,1563616202,100,50.7,-127.42,46.4,3.36
259,Beira,75,ES,1563616202,83,43.2,-8.36,72.0,4.7
260,Eden,0,AU,1563616202,87,-37.06,149.9,46.4,3.0
261,Enterprise,1,US,1563616202,23,36.05,-115.22,89.6,3.36
262,Ponta do Sol,0,BR,1563616203,93,-20.63,-46.0,49.12,6.04
263,Sao Jose da Coroa Grande,99,BR,1563616203,94,-8.9,-35.15,70.0,7.61
264,Novooleksiyivka,0,UA,1563616203,45,48.49,32.24,77.38,4.7
265,Riobamba,18,EC,1563616204,80,-1.67,-78.65,45.7,9.08
266,Santee,90,US,1563616204,77,32.84,-116.97,68.0,1.99
267,Teya,5,MX,1563616204,88,21.05,-89.07,77.0,6.93
268,Camacha,75,PT,1563616205,88,33.08,-16.33,73.4,11.41
269,A Coruna,75,ES,1563616024,83,43.37,-8.4,70.0,4.7
270,Sinazongwe,0,ZM,1563616205,19,-17.26,27.46,77.92,5.35
271,Saldanha,0,PT,1563616205,55,41.42,-6.55,73.06,5.08
272,Evanston,90,US,1563616206,83,42.04,-87.69,80.6,11.41
273,Kaitong,100,CN,1563616206,42,44.81,123.15,89.26,16.8
274,Lipin Bor,65,RU,1563616206,85,60.26,37.97,65.86,2.66
